,id,category,sub category,product,price,organic,vegetarian,vegan,gluten free,lactose free,beter leven,unit,weight,calories,ingredients
0,0,"Cooking, dining, leisure","Living, sleeping",Philips Led fil kogel mat E27 40W,8.19,,,,,,,per stuk,1 Stuks (piece),,Voor gebruik binnen
1,1,"Cooking, dining, leisure","Living, sleeping",Philips Led fil kaars helder E14 40W,8.39,,,,,,,per stuk,1 Stuks (piece),,Voor gebruik binnen
2,2,"Cooking, dining, leisure","Living, sleeping",Philips Led spot GU10 35W,6.89,,,,,,,per stuk,1 Stuks (piece),,Voor gebruik binnen
3,3,"Cooking, dining, leisure","Living, sleeping",Philips Led lamp mat 40watt,8.19,,,,,,,per stuk,1 Stuks (piece),,Voor gebruik binnen
4,4,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars okergeel 13cm,3.89,,,,,,,per stuk,1 Stuks (piece),,
5,5,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars wit 8cm,2.79,,,,,,,per stuk,1 Stuks (piece),,
6,6,"Cooking, dining, leisure","Living, sleeping",Bolsius True scents geurtheelichten granaatappel,2.99,,,,,,,18 stuks,18 Stuks (piece),,Buiten het bereik van kinderen houden
7,7,"Cooking, dining, leisure","Living, sleeping",Bolsius Geurstokjes fresh cotton,6.99,,,,,,,per stuk,45 Milliliter,,Veroorzaakt ernstige oogirritatie.
8,8,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars shimmer goud 19cm,4.49,,,,,,,per stuk,1 Stuks (piece),,
9,9,"Cooking, dining, leisure","Living, sleeping",Bolsius Waxinelichtjes clear cup 6 branduren,5.49,,,,,,,24 stuks,24 Stuks (piece),,
10,10,"Cooking, dining, leisure","Living, sleeping",Gouda Maxi lichten helder kaarslicht 10 uur,6.99,,,,,,,12 stuks,12 Stuks (piece),,
11,11,"Cooking, dining, leisure","Living, sleeping",Bolsius True scents geurtheelichten magnolia,2.99,,,,,,,18 stuks,18 Stuks (piece),,Buiten het bereik van kinderen houden
12,12,"Cooking, dining, leisure","Living, sleeping",Bolsius Dinerkaars rustiek antraciet 27cm,1.19,,,,,,,per stuk,1 Stuks (piece),,
13,13,"Cooking, dining, leisure","Living, sleeping",Bolsius Geurtheelichten fresh cotton,2.99,,,,,,,18 stuks,18 Stuks (piece),,
14,14,"Cooking, dining, leisure","Living, sleeping",Bolsius Dinerkaars rustiek okergeel  27cm,1.19,,,,,,,per stuk,1 Stuks (piece),,
15,15,"Cooking, dining, leisure","Living, sleeping",Bolsius Dinerkaars rustiek oudroze 27cm,1.19,,,,,,,per stuk,1 Stuks (piece),,
16,16,"Cooking, dining, leisure","Living, sleeping",AH Dinerkaars zwart 10 uur zwart,3.99,,,,,,,10 stuks,10 Aantal,,Waarschuwing: verpakking verwijderen voor gebruik.
